Sequence,PHYLUM,CLASS,ORDER,FAMILY,GENUS
S000414124,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414126,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414127,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414128,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414129,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414130,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414226,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000414231,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000436344,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000436350,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000436351,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000436352,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000436354,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000437368,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000616641,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000768586,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000768588,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000768590,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000768592,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000768594,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S001152511,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S001187258,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S002287045,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S002288075,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S002289304,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S002289553,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S002289889,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
S000436355,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Gardnerella
S000616640,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Metascardovia
S000775413,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia
S000414230,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Scardovia
S000414229,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Parascardovia
S000399883,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Aeriscardovia
S000000018,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000001207,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000001211,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000001874,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000001926,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000003458,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000004698,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000005054,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000005442,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000006177,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000006560,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000006936,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000010758,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000012086,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000012562,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000012670,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000014419,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000014523,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000014740,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000015295,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000015299,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000083692,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000095828,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000111689,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000125312,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000130226,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000130343,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000145435,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000146756,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000381252,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000381439,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000471778,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000557086,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000608084,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000608085,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S001095188,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces
S000011030,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
S000011541,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
S000011542,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
S000127675,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
S000472963,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
S000472964,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
S000560271,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
S000964258,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Arcanobacterium
S000011903,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
S000134158,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
S000381049,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
S000429655,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum
S000112115,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Varibaculum
S000003791,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000008031,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000021767,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000245345,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000245583,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000245820,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000245821,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000246078,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000246371,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383145,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383146,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383147,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383149,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383150,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383154,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383155,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383156,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383160,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000383451,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000437936,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000437937,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000440856,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000482890,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000728161,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes
S000000434,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000000815,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000001165,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000001168,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000001602,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000002742,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000003128,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000003521,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000003931,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000004348,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000005120,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000006252,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000006993,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000008156,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000008157,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000009658,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000011227,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000012379,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000014660,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000015368,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000016069,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000124253,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000388244,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000439745,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000457896,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000458163,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000458169,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000459518,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000459521,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000459522,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000486318,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000539473,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000563773,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000616731,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000616732,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000734974,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Micromonospora
S000001955,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catenuloplanes
S000244836,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catenuloplanes
S000245824,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catenuloplanes
S000382724,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catenuloplanes
S000001320,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium
S000001974,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium
S000009624,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium
S000016045,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium
S000016404,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium
S000021703,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Dactylosporangium
S000435821,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Spirilliplanes
S000388241,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catellatospora
S000388242,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catellatospora
S000470086,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catellatospora
S000470087,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catellatospora
S000470088,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catellatospora
S000388556,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Catelliglobosispora
S000388245,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Hamadaea
S000015393,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Pilimelia
S000021813,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Pilimelia
S000003478,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes
S000435858,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Couchioplanes
S000007128,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Virgisporangium
S000007486,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Virgisporangium
S000014990,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Verrucosispora
S000531428,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Salinispora
S000531430,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Salinispora
S000245823,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Asanoa
S000388243,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Asanoa
S000495940,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Asanoa
S000439485,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Longispora
S000652639,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Polymorphospora
S001188909,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Plantactinospora
S000606744,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Krasilnikovia
S000606745,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Luedemannella
S000606747,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Luedemannella
S000385939,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinocatenispora
S000711100,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinocatenispora
S000964170,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Pseudosporangium
S000651740,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Planosporangium
S000002405,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000012782,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000429092,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000429094,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000429096,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000429098,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000429101,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000429103,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000440923,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000842173,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000994686,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Saccharothrix
S000382510,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Umezawaea
S000002952,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora
S000003748,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora
S000014838,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora
S000429086,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora
S000429087,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora
S000429088,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora
S000429091,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinokineospora
S000429089,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinosynnema
S000446298,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinosynnema
S000858426,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Actinosynnema
S000396166,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lechevalieria
S000429093,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lechevalieria
S000429097,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lechevalieria
S000776122,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lechevalieria
S000000546,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
S000006985,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
S000382508,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
S000388582,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
S000388804,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
S000446299,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
S000625839,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea
S000014206,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000016191,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000131289,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000134252,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000134977,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000137582,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000139247,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000139867,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000140189,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000140807,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000140808,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000141303,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000141304,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000142184,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000263623,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000263624,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000367551,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000389417,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000389423,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000395205,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000396693,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000400313,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000400314,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000400315,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000428086,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000428093,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000433494,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000435334,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000600152,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000624673,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000633542,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000711954,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000713035,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000734904,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
S000734906,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis
